Fecha,Fecha de Compra,Descripción,Importe
04 Jan 2026,04 Jan 2026,650 INDUSTRIES (EXPO)   PALO ALTO,348.90
03 Jan 2026,04 Jan 2026,PAYPAL *HBOMAX HELP.HBO 8559426669,358.08
03 Jan 2026,04 Jan 2026,RAPPI MX                MEXICO CITY,420.70
03 Jan 2026,03 Jan 2026,SQSP* WORKSP#216429001  NEW YORK,154.24
02 Jan 2026,03 Jan 2026,JAPONEZ ARTZ            CIUDAD DE MEX,3381.00
02 Jan 2026,03 Jan 2026,SUPERAMA INDIANA        CD MEXICO,395.00
01 Jan 2026,02 Jan 2026,BAR 27 PEDREGAL         CIUDAD DE MEX,252.00
01 Jan 2026,02 Jan 2026,BAR 27 PEDREGAL         CIUDAD DE MEX,630.00
01 Jan 2026,02 Jan 2026,GOOGLE*WORKSPACE THISNU CC GOOGLE.COM,47.13
01 Jan 2026,02 Jan 2026,PAYPAL *PARAMNTPLUS     8882745343,253.27
01 Jan 2026,01 Jan 2026,RAPPI MX                MEXICO CITY,518.90
01 Jan 2026,01 Jan 2026,UBER TRIP               HTTPS://HELP.UB,132.12
01 Jan 2026,01 Jan 2026,UBER TRIP               HTTPS://HELP.UB,197.33
31 Dec 2025,31 Dec 2025,ABARR LA EUR INSURGENT  CIUDAD DE MEX,980.00
30 Dec 2025,30 Dec 2025,GOOGLE*YOUTUBE TV GOOGL  G.CO HELPPAY#,1615.45
30 Dec 2025,31 Dec 2025,PAYPAL *NETFLIX.COM     8667160414,349.93
30 Dec 2025,31 Dec 2025,RAPPI MX                MEXICO CITY,318.90
28 Dec 2025,29 Dec 2025,AIR FRANCE              MEXICO D.F.,1098.00
28 Dec 2025,29 Dec 2025,AIR FRANCE              MEXICO D.F.,29267.00
28 Dec 2025,29 Dec 2025,GOOGLE *TV              G.CO/HELPPAY#,73.36
28 Dec 2025,28 Dec 2025,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,367.74
26 Dec 2025,26 Dec 2025,AMAZONPRIME *HU2A11CJ3  AMZN.COM/BILL,275.62
26 Dec 2025,26 Dec 2025,RUNWAY                  NEW YORK,930.35
26 Dec 2025,26 Dec 2025,SQSP* DOMAIN#215461452  NEW YORK,551.63
26 Dec 2025,26 Dec 2025,SQSP* WORKSP#215490777  NEW YORK,154.46
26 Dec 2025,26 Dec 2025,SUPABASE                SINGAPORE,877.36
25 Dec 2025,25 Dec 2025,DD *DOORDASHDASHPASS    SAN FRANCISCO,183.90
24 Dec 2025,24 Dec 2025,AMAZON MX MARKETPLACE*A MEXICO CITY,534.00
24 Dec 2025,24 Dec 2025,GANDHI                  MEXICO,806.00
24 Dec 2025,25 Dec 2025,PAYPAL *APPLE.COM/BILL  8002752273,368.72
23 Dec 2025,24 Dec 2025,MASSIMO DUTTI OASIS COY MEXICO,1701.00
23 Dec 2025,23 Dec 2025,OPENAI                  SAN FRANCISCO,460.43
23 Dec 2025,24 Dec 2025,PAYPAL *SPOTIFY*P3DB4AE 2033189708,116.40
23 Dec 2025,24 Dec 2025,RUNWAY                  NEW YORK,372.51
23 Dec 2025,23 Dec 2025,SQSP* DOMAIN#215076224  NEW YORK,994.53
23 Dec 2025,23 Dec 2025,SQSP* WORKSP#215077780  NEW YORK,154.70
22 Dec 2025,23 Dec 2025,PAYPAL *SPLICE          4029357733,389.40
21 Dec 2025,22 Dec 2025,PAYPAL *APPLE.COM/BILL  8002752273,55.29
21 Dec 2025,21 Dec 2025,RAPPI MX                MEXICO CITY,1887.80
20 Dec 2025,21 Dec 2025,PAYPAL *APPLE.COM/BILL  8002752273,390.01
18 Dec 2025,18 Dec 2025,BT*DD *DOORDASH DAVESHO SAN FRANCISCO,502.07
18 Dec 2025,18 Dec 2025,MONDAY`S                MADISON,248.16
18 Dec 2025,18 Dec 2025,MONDAY`S                MADISON,296.17
18 Dec 2025,19 Dec 2025,"PARADIES-MADTOWN, LLC   ATLANTA",219.91
18 Dec 2025,18 Dec 2025,TST* WHISKEY JACKS SALO MADISON,406.21
18 Dec 2025,18 Dec 2025,UBER,75.70
18 Dec 2025,19 Dec 2025,UBER,169.57
18 Dec 2025,18 Dec 2025,UBER,430.83
18 Dec 2025,18 Dec 2025,UBER,546.91
18 Dec 2025,18 Dec 2025,UBER,554.64
18 Dec 2025,19 Dec 2025,UNITED AIRLINES         HOUSTON,147.71
18 Dec 2025,19 Dec 2025,United Airlines         Houston,923.23
17 Dec 2025,17 Dec 2025,BT*DD *DOORDASH CHICK-F SAN FRANCISCO,516.24
17 Dec 2025,20 Dec 2025,GOOGLE*GOOGLE ONE GOOGL  G.CO HELPPAY#,2311.39
17 Dec 2025,18 Dec 2025,GOOGLE*YOUTUBE VIDEOS G  G.CO HELPPAY#,73.84
17 Dec 2025,18 Dec 2025,LINELEAP                BELLEVILLE,585.91
17 Dec 2025,18 Dec 2025,NORDSTROM RACK #0286 00 MADISON,8938.10
17 Dec 2025,18 Dec 2025,PAYPAL *APPLE.COM/BILL  8002752273,214.48
17 Dec 2025,18 Dec 2025,PAYPAL *APPLE.COM/BILL  8002752273,370.68
15 Dec 2025,15 Dec 2025,BT*DD *DOORDASH CHIPOTL SAN FRANCISCO,546.42
15 Dec 2025,16 Dec 2025,LINELEAP                BELLEVILLE,292.51
14 Dec 2025,14 Dec 2025,RAISING CANES 0601      MADISON,213.04
14 Dec 2025,14 Dec 2025,SQSP* DOMAIN#213784964  NEW YORK,556.25
14 Dec 2025,14 Dec 2025,TST* THE DOUBLE U 00181 MADISON,289.06
13 Dec 2025,13 Dec 2025,BT*DD *DOORDASH CHIPOTL SAN FRANCISCO,454.08
13 Dec 2025,14 Dec 2025,TST* THE DOUBLE U 00181 MADISON,167.98
13 Dec 2025,14 Dec 2025,TST* THE DOUBLE U 00181 MADISON,603.16
13 Dec 2025,13 Dec 2025,UBER,165.95
12 Dec 2025,12 Dec 2025,MILLENNIUMSIPOS*CINEMA  MADISON,1001.25
12 Dec 2025,12 Dec 2025,RAISING CANES 0601      MADISON,213.04
12 Dec 2025,12 Dec 2025,UBER,166.50
11 Dec 2025,12 Dec 2025,TST* THE KOLLEGE KLUB - MADISON,185.41
11 Dec 2025,12 Dec 2025,TST* THE KOLLEGE KLUB - MADISON,321.88
